id,comment,star,label,kategori
31,Tam istediğim gibi. Görseli aynasıdır. Sanırım yarım kalıb büyük. Buda iyi bir şeydir.,5,1,ayakkabı
32,Numarası ayağıma uygun geldi. Modelini de çok beğendiğim teşekkür ediyorum,5,1,ayakkabı
33,"Kargolama yerinde, ürün gayet iyi. Ayak numaranızın 1 düşüğünü alın ki orijinalinde dahi ayak numaranızın bir düşüğü gidiyor.",5,1,ayakkabı
34,"Kalıbı biraz küçük, bana oldu, gerçekten güzel ayakkabı",5,1,ayakkabı
35,Resimdeki gibi kalşteli,5,1,ayakkabı
36,"Ayakkabı gerçek deri, dikiş işçiliği sağlam ve özenli gözüküyor.",5,1,ayakkabı
37,Bana göre iyi en azından ayağım rahat etti,4,1,ayakkabı
38,2.5tan 3. Son zamanlarda aldığım en kötü yan sanayi dexter. İlk günden aşırı terletti. Üç kısmı özensiz dikilmiş.,3,0,ayakkabı
39,Ürün güzel parasına göre bir numara küçük alın,4,1,ayakkabı
40,İyi görünüyor biraz dar,5,1,ayakkabı
41,Ayakkabı çok rahat çokta guzel,5,1,ayakkabı
42,Fiyatına göre kaliteli ürün teşekkürler,5,1,ayakkabı
43,Lacivert kahverengi detaylı modeli sipariş verdim düz kahverengi gönderilmiş satıcıya dikkatsizliği yuZunden notum tek yildiz,1,0,ayakkabı
44,"İstediğim bağcıksız ayakkabıydı, bağcıklı geldi,kalitesi de resimlerde görüldüğü gibi değil, tavsiye etmiyorum.",1,0,ayakkabı
45,"Tam kalıp geldi, uzun soluklu bilmiyorum ama şimdilik iyi. Yumuşak bir dokusu var ayağı yormuyor",5,1,ayakkabı
46,Ürün fiyatına göre fena değil gorseldeki gibi Dexter yazısı yok tabanı da kötü yapılmış,3,0,ayakkabı
47,"Gelen ürün; Görselinde görünür renkte değil, geldiğinde gayet güzel görünüyor. İlk giydiğimde sağ ayakkabının üst dikişi 5 cm. Boyunda açıldı. Giydiğim için de iade edemedim. Maalesef böyle bir şey başıma geldi.",2,0,ayakkabı
48,Gorseldeki urunum zamaninda geldi tesekkurler,5,1,ayakkabı
49,Çok iyi tereddüt ederek almıştım ama o kadar memnun kalacağımı bilsem hiç düşünmezdim,4,1,ayakkabı
50,Görseller gerçeği yansıtmıyor. Gelen ürün görsel olarak benzese de kalite olarak alakasız. Fotoğraflarda daha yüksek kaliteli malzeme ile üretilmiş ürünler olabilir.,3,1,ayakkabı
51,Bir numata küçük alinmali,5,1,ayakkabı
52,Hakiki deri diye aldık inşallah öyledir,5,1,ayakkabı
53,Fiyatına göre gayet iyi ve kaliteli,5,1,ayakkabı
54,Orijinal değil ama sağlam duruyor fiyat performans ürünü ben beğendim,5,1,ayakkabı
55,Şık rahat bir ayakkabı beklediğimiz gibi geldi,5,1,ayakkabı
56,Numaranıza göre alabilirsiniz gayet güzel kaliteli ayakta duruşu çok iyi,5,1,ayakkabı
57,Kendi numaramın 1 küçüğü bile büyük oldu. Bu nasıl bir kalıptır anlamadım. İade ettim.,1,0,ayakkabı
58,Kalıbı çok büyük kesinlikle bir numara küçük alın.,3,0,ayakkabı
59,Çok kalitesiz dikişler iki aydır içinde patladı,1,0,ayakkabı
60,ÜRÜN TAM FİYATININ ÜRÜNÜ AMA ÇOK KALİTE BEKLEMEYİN,3,1,ayakkabı
61,Dışı iyide bu içindekiler ne onu anlamadım. Fena değil alınabilir,4,1,ayakkabı
62,Ürün güzel 1 numara büyük geldi. Geri iade edip bir numara küçüğünü sipariş ettim.,5,1,ayakkabı
63,Ürün güzel ama bir numara büyük geldi. İade edip bir numara küçüğünü sipariş verdim.,5,1,ayakkabı
64,Gayet rahat ve şık,5,1,ayakkabı
65,Şık ve kullanışlı,5,1,ayakkabı
66,Güzel,4,1,ayakkabı
67,Rahat kullanışlı,5,1,ayakkabı
68,Tabanı çok sert. İçine Tabanlık almak gerek.,3,0,ayakkabı
69,Çok sert ve kullanışsız ayağı acıtıyor,1,0,ayakkabı
70,"Uğraşmamak adına iade etmiyorum, ürün elime bugün ulaştı, üründe bıçak kaçtığını dediğimiz kesikler mevcut halka arz etmeden kontrol ederseniz daha doğru olur.",3,0,ayakkabı
71,Fena değil daha önce aynisinda almıştım daha kaliteliydi,2,1,ayakkabı
72,Tam ayağıma göre güzel .,5,1,ayakkabı
73,Ürünler fiyatına göre iyi 2 tane indirimli aldım.,5,1,ayakkabı
74,Ürün kaliteli bağciklari kalın olduğu için zor baglaniyor,5,1,ayakkabı
75,Güzel ve rahat tam fiyat performans ürünü. Yazın vazgeçilmezi,5,1,ayakkabı
76,Bu tarz ayakkabıları tercih edenler için iyi bir seçim olabilir f/p ürünü güzel . Normal ayak numaranızı tercih edebilirsiniz. Satıcıya teşekkür ederim.,5,1,ayakkabı
77,Hızlı geldi ürün güzel sadece baciklari sert cabuk cozukuyor,5,1,ayakkabı
78,Beş para etmez bir ürün kesinlikle tavsiye etmiyorum fazlasıyla defolu bir üründür vaktim olmadigi için iade etmiyorum ama bu firmadan da artık birseh almam,1,0,ayakkabı
79,Fena değil,3,1,ayakkabı
80,Ayakkabı çok rahat ve yumuşak.,5,1,ayakkabı
81,Beklentimin üzerinde çoktı.gayet güzel. Tavsiye ederim,5,1,ayakkabı
82,Eşime almıştık çok memnun kaldı kalitesi mükemmel,5,1,ayakkabı
83,Dar kalıp ve birde tabana konan destek ayak acıtıyor ve ayak ağrıtıyor,4,0,ayakkabı
84,Dar kalıp ayak tabanında bulunan destek ayak acıtıyor ve ağrıtıyor,4,0,ayakkabı
85,Sadece bir numara küçüğünü alın bana bol geldi 44 giyerim sürekli,5,1,ayakkabı
86,Ürün bugün elime geçti ama ürün defolu vede ve tavanı çok kötü kavuçuk kokuyor,1,0,ayakkabı
87,Beklediğimden çok çok kötü rahat değil çok sert hiç tavsiye etmiyorum,1,0,ayakkabı
88,Ayakkabıyı nişanlıma hediye aldım çok güzel kaliteli ürün,5,1,ayakkabı
89,Resimde polaris etiketi vardı ancak gelen ayakkabı polaris değil,3,0,ayakkabı
90,Çok rahat ve esnek Tam bir F/P ürünü Tavsiye ederim,5,1,ayakkabı
91,Hızlı kargo ve güzel paketleme için teşekkürler.,5,1,ayakkabı
92,Tabanı çok kalitesiz,2,0,ayakkabı
93,"Kalite süper, fiyat süper, satıcı firmaya çok teşekkürler",5,1,ayakkabı
94,Eşime aldım numarası 1 numara küçük almanızda fayda var kalıbı biraz büyük,5,1,ayakkabı
95,Kalıbı çok dar. İki numara daha büyüğünü almak gerekebilir. Oysa kalitesi fiyatına göre çok iyi. Geri gönderip iki numara büyüğünü istedim temin etmediler. Sorunsuz şekilde para iadesi oldu.,4,0,ayakkabı
96,muhteşem ayakkabıya bayıldım hemen fiyat falan değişmeden 1tane daha alacağım,5,1,ayakkabı
97,Kargolama hızlıydı. Fiyat performans ürünü çok kaliteli değil ama bu fiyata böyle çok seçenek yok. İpleri biraz sıkıntılı geldi uc kısmı kopmak üzere. Tabanlık biraz kullanıldığı zaman kolay çıkacak gibi duruyor. Görünüşü şık ve kullanışlı.,4,0,ayakkabı
98,Ayakkabı çok güzel ama dikiş hatası var..aynısı ile değişim mümkün müdür?,2,0,ayakkabı
99,Kalıbı büyük galiba her zaman giydiğim numara aldık büyük geldi,2,0,ayakkabı
100,"Ayakkabı gayet rahat ve şık, ilk aldığımda içinin siyah rengi çorabı boyuyordu, ancak sonra bu sorun kalmadı.",4,1,ayakkabı
101,Ürün güzel fakat iç astarı çok ince iç tabanlık almanız lazım 150 liraya iş tabanlik aldım bu yüzden ayakkabı pahalıya geldi,4,0,ayakkabı
102,Günlük giymek için çok rahat bir Ayakkabı. Kargo çok erken geldi. Teşekkür ediyorum..,5,1,ayakkabı
103,Fiyatına göre gayet iyi.. F/p ürünü.. beklediğimden iyi çıktı.. normal ayak numaranızı sipariş edin.,5,1,ayakkabı
104,Tam kalıp çok rahat,5,1,ayakkabı
105,Ürün çok güzel ama benim istediğim numara yok 39 numara varsa çok sevinirim farklı renkleri de olabilir,5,1,ayakkabı
106,Berbat bir ürün sadece altı hemn atıyor,1,0,ayakkabı
107,"Hızlı kargo, fiyat performans ürünü.",5,1,ayakkabı
108,Ayakkabı güzel tavsiye ederim,5,1,ayakkabı
109,Sorunsuz ürün ben memnun kaldım,5,1,ayakkabı
110,Parasına göre ayakkabı beklenti yüksek olmasın,2,0,ayakkabı
111,Ayakkabı resimdeki gibi değil beyenmedim çogunlukla bayan ayakkabısını benziyor bir anlam veremedim,2,0,ayakkabı
112,Ayakkabılar resimdeki gibi gösterişli ve kaliteli değil ayakkabı ilk günden şekilden şekile girdi,3,0,ayakkabı
113,Çok güzel sadece alacak arkadaşlar bir numara küçük tercih edebilirler kalıpları bi hayli büyük onun dışında çok güzel,5,1,ayakkabı
114,Tam kalıp güzel begendik,5,1,ayakkabı
115,Parasına göre,2,0,ayakkabı
116,Ürün temiz ve kaliteli,5,1,ayakkabı
117,Gayet başarılı teşekkür ederim,5,1,ayakkabı
118,Fiyatına göre kaliteli ve günlük kullanıma uygun,5,1,ayakkabı
119,Hızlı kargo ürün sorunsuz geldi,5,1,ayakkabı
120,Esim beğendi sağlam rahat bı ayakkabı tam bedeninizi alin,5,1,ayakkabı
121,On numara bir ürün herkese tavsiye ederim,5,1,ayakkabı
122,Guzel hizli kargo,5,1,ayakkabı
123,Ürün gayet güzel ve kaliteli.kendi ayak numaranızı ala bilirsiniz.hakiki deri dir,5,1,ayakkabı
124,Arkadaşlar bugüne kadar internetten alıp da bu siparişim kadar memnun kaldığım hiçbir siparişim olmadı gerçekten aldığı parayı hak ediyor tavsiye ederim,5,1,ayakkabı
125,İşçilik ve malzeme gayet güzel.. normal ayak numaranızı alın,5,1,ayakkabı
126,Gerçek deri ayakkabının tabanı biraz daha iyi olabilirdi,4,1,ayakkabı
127,Tabanlık ile üst kısım hiç iyi yapıştırılmamış çok boşluk var arada,2,1,ayakkabı
128,Fiyat/Performans ürünü. Yaz boyunca beğenerek giydim ve önümüzdeki senelerde de giyeceğim inşallah. Tek pişmanlığım keşke başka renklerinden de alsaymışım.,5,1,ayakkabı
129,Kaliteli ürün tavsiye ederim,5,1,ayakkabı
130,Ürünü çok beğendim teşekkür ederim bol kazançlar,5,1,ayakkabı
131,Ürün güzel fakat kalıbı bol teşekkürler,5,1,ayakkabı
132,Güzel ayakkabı,5,1,ayakkabı
133,Ürün gayet güzel derisi kaliteli emsalleri 750 TL bu fiyata bu ayakkabı çok güzel ben beğendim tavsiye ederim 42 numara kalıbı birebir aynı,4,1,ayakkabı
134,Çok kötü 4-5 defa giymede hemen önü açıldı,1,0,ayakkabı
135,Ürünüm geldi yanlış oldu numarasında 42olacak değişim için göstermiş gayretlerinden dolayı hepsi burdaya asistanina teşekkür ediyorum anında dönüş çözüm odaklı çalışma sistemi 100 100,5,0,ayakkabı
136,Gayet iyi F/P ürünü,4,1,ayakkabı
137,Rahatve kullanisli,4,1,ayakkabı
138,Cok guzel bir ayakkabi babam icin almistim severek kullaniyor uzun sure oldu alali kullanip o sekilde yorum yapmak istedim kaliteli ve güzel,5,1,ayakkabı
139,Ayakkabı güzel fiytına göre çok iyi,5,1,ayakkabı
140,Ayakkabımı çok beğendim,5,1,ayakkabı
141,fiyatına göre iyi,4,1,ayakkabı
142,Fiyatının çok üzerinde kaliteli ayakkabı. Tipini beğenenlere kesinlikle tavsiye ederim.,5,1,ayakkabı
143,Ürün gayet iyi,5,1,ayakkabı
144,Kalıp geniş gibi ama rahat,4,1,ayakkabı
145,Alınabilir fiyatına göre rahat ve şık.,5,1,ayakkabı
146,Çok guzel,5,1,ayakkabı
147,Ayakkabı kalitesi çok kötü,2,0,ayakkabı
148,Bu fiyata harika,5,1,ayakkabı
149,Güzel rahat kaliteli ayakkabı,5,1,ayakkabı
150,Çok iyimiş,5,1,ayakkabı
151,Gayet iyi görünüyor..,5,1,ayakkabı
152,F/P ürünü rahat düşünmeden alın,5,1,ayakkabı
153,Giymedim ama güzel duruyor çok kaliteli orijinal değil ama hiç yoktan da iyi 500/600 vermeyip idare ederim dersen iş görür mü on numara görür,5,1,ayakkabı
154,Beğendik tesekkur ederiz bir puan dikim ip falan kalmış o yüzden kırdım.,4,1,ayakkabı
155,Üründe tabanda dikiş yok yapıştırma kısa sürede taban ayrılıyor dikiş attırmak zorunda kaldım dikkate almanızı öneririm satıcı ve alıcı olarak,1,0,ayakkabı
156,Hakiki deri felan değil.Oyle bir beklentiniz olmasın ama fenada değil.,5,1,ayakkabı
157,İdare eder ama kalite tek yıldız,1,0,ayakkabı
158,İç kısım ve taban olarak ayakları çok rahatsız ediyor çok sert bir yapısı var hakiki deri yazıyor ama hiç deri yapısı göremedim deri yumuşak yapıda olur ama sert bir yapıya sahip göründüğü gibi hiç değil tavsiye etmem .,1,0,ayakkabı
159,Ürün görüntü olarak güzel bir haftada tabanı ayrıldı tabanda dikiş yok yapıştırma yapmışlar. Üstüne gidip dikiş attırmak zorunda kalıyorsunuz iki çift almıştım ikisinede artı dikiş yaptırmak zorunda kaldım,1,0,ayakkabı
160,Ayakkabı defolu geldi firma sınıfta kaldı hiç tavsiye etmiyorum,1,0,ayakkabı
161,Ürün geldi dikiş hataları var ve bı noktasında yarım santim leşter kesiği var o an ihtiyacım olmasa giğmeyip iade edecektim tavsiye etmiyorum,1,0,ayakkabı
162,İlk defa aldığım Dexter modelin arkası ayaklarımı vurdu,3,0,ayakkabı
163,Ûrünü pek beğenmedim kalitesi düşuktü ama fiyatıda düşüktü .karar sizin.,3,0,ayakkabı
164,Çok kaliteli bir ürün diyemem ama bu fiyata göre oldukça iyi,3,1,ayakkabı
165,Cok kötü bir ürün geldi deri cok kırışık. Dikiş ipleri kesilmemiş ayakkabının içinde ve altında.. İyade edicem cok kötü,1,0,ayakkabı
166,F/p ürünü fiyatına göre çok iyi,5,1,ayakkabı
167,Çok güzel. Tşkler.,5,1,ayakkabı
168,Çok rahat sağlam ve şık.,5,1,ayakkabı
169,"Arkadaşlar ürünü beğendim ikincisin kardeşime aldım, kalıb olarak kendi numaranızı alın çok rahat edeceksiniz Tavsiye ederim.",5,1,ayakkabı
170,Ürün gayet güzel ve kaliteli satıcı firma sorulan tüm sorulara hızlı cevap vererek çözüm İçin fazlası ile yardımcı oluyor tşk,5,1,ayakkabı
171,deri güzel tavsiye ederim,5,1,ayakkabı
172,Kalıp geniş bir numara küçük tercih edilmeli,5,1,ayakkabı
173,Başarılı rahat sorun yaşamadım emeği geçenlere teşekkürler,5,1,ayakkabı
174,"Kaliteli malzemeden üretilmiş, emeği geçenlerin eline sağlık.",5,1,ayakkabı
175,Fiyat a göre iyi,5,1,ayakkabı
176,Harika istedigimde daha kaliteli geldi urunum tesekurler hepsi burda,5,1,ayakkabı
177,Kaliteli ve şık bir ürün.Ama kalıbı büyük.Normal numaramı almama rağmen 1 numara büyük geldi.,5,1,ayakkabı
178,Ürün güzel hızlı kargo,5,1,ayakkabı
179,Urun kaliteli,5,1,ayakkabı
180,Güzel ayakkabi rahat kaliteli,4,1,ayakkabı
181,Teşekkürler..,5,1,ayakkabı
182,tabanındaki astar çıkıor yoksa güzel,5,1,ayakkabı
183,Teşekkür ederim Allah razı olsun hayırlı işler bol kazançlar,5,1,ayakkabı
184,"F/p markalı ürün isteyen onu alsın , sadece uçları az bi açık makinadan kaçma gibi yapıştırıp diktircem aylarca giyilir sonra",5,1,ayakkabı
185,Şimdilik bir sıkıntı görünmüyor. Kullandıkça kalitesini göreceğiz.,4,1,ayakkabı
186,Mükemmel bence... çok rahat ve şık,5,1,ayakkabı
187,Gerçekten kaliteli rahat çok başarılı tesekkurler,5,1,ayakkabı
188,İç astarı çok berbat parmak ve ayak ya BİTİŞ lerde sanki çivi batıyor iki kullanımda uç atarlar toplanmaya başladı üzgünüm beğenmedim geri dönüşüme verecem,5,0,ayakkabı
189,40 numara olarak aldığım ürün ayağıma olmadı. Çok net 42 numara ayakkabı giyen birine rahatlıkla olur. Ürünü alırken bunu göz ardı etmeyin. Ayrıca ayakkabı kutusu ezilerek gelmişti,1,0,ayakkabı
190,Ürünü gösterdikleri gibi değil,1,0,ayakkabı
191,"Kesinlikle tavsiye etmiyorum.Ürün işçilik hatalarıyla dolu.Dikiş,yapıştırma yerlerinde hata çok fazla.Kısa zamanda çöp olacak bir ayakkabı",1,0,ayakkabı
192,Çok güzel tavsiye ederim,5,1,ayakkabı
193,Ürün sandığım dan daha güzel çıktı ve ayakta çok daha havalı duruyor. Kokusu gayet kalıcı.,5,1,ayakkabı
194,Aynen denildiği gibi şafi deri güzel rahat biraz daha hafif ola bilirse iyi olur,3,1,ayakkabı
195,"Ürünün kalitesi iyi, lakin kalıp sorunu var, daha önceki yorumlarda da okudum kalıb sorunu var, diye, ben 42 numara giyiyorum, 42 numara aldım, baya büyük, onun için değişim istedim. Bakalım nasıl çözeriz.",4,0,ayakkabı
196,Dexter değil oxder diye bir ayakkabı geldi gerçi fiyatı ortada ..orta kalite ayakkabı..,3,0,ayakkabı
197,Gayet güzel ve rahat,5,1,ayakkabı
198,Babam için almıştım. İç dış deri... Düşündüğümden güzel geldi. Kargoda söylenen zamanda teslim etti. Teşekkürler...,5,1,ayakkabı
199,Fiyatına göre iyi ve guzel,5,1,ayakkabı
200,Cok güzel teşekkür ediyorum,5,1,ayakkabı
201,Satıcı firmaya teşekkür ederim ürün fiyatına göre çok iyi,5,1,ayakkabı
202,Kalıpları büyük ama güzel fiyat performans olarak beğendim.,5,1,ayakkabı
203,Tabanı daha iyi olabilirdi ama indirimdeyken aldım fiyatı uygun.,4,1,ayakkabı
204,Süper ayakkabı,5,1,ayakkabı
205,Kalitesi düşük,4,0,ayakkabı
206,İyi beğendim,5,1,ayakkabı
207,Gerçekten fiyatına göre hesaplı ve kaliteli hepsi burada ya ve satıcıya teşekkür ler.,5,1,ayakkabı
208,Harika tam istediğim gibi teşekkürler,5,1,ayakkabı
209,Güzel begendim,5,1,ayakkabı
210,Hızlı Kargo Teşekkürler,5,1,ayakkabı
211,Çok iyi ürün. Teşekkür ederim,5,1,ayakkabı
212,Bu paraya aldığınız bir ayakkabıdan fazla bir şey beklememek lazım zaten. Tek garip gelen şey üzerinde hiçbir şeyin yazmıyor olması. Sadece tabanında numarası yazıyor. Diğer taraftan dediğim gibi bu parayla alınabilecek bir ayakkabı,4,0,ayakkabı
213,Son derece kaliteli,5,1,ayakkabı
214,Severek giyiyorum. Fiyati çok uygun ve kaliteli. Tabanıda rahat . Teşekkürler,5,1,ayakkabı
215,Fiyata göre iyi. Altlık yok ama ise yarar fazlasıyla,4,1,ayakkabı
216,Teşekkürler,4,1,ayakkabı
217,Güzel ürün.Taban lastiği biraz kokuyor o kadar.. Umarım geçer kokusu,5,1,ayakkabı
218,İç tabani çok ince iki gün giydim ayaklarım ağrıdı tabanlık aldim ekstre onun dışında kalitesi güzel fiyat performans ürünü,5,1,ayakkabı
219,Ürün gayet iyi ufak tefek taban sorunu yaratıyor ortapedik içlik yok,5,1,ayakkabı
220,Ürünü çok beğendim ama eşime büyük geldi iade ettik sonuç gelince yeniden almayı düşünüyorum,5,1,ayakkabı
221,Fiyat performans 5 Yıldız,5,1,ayakkabı
222,Ürün gayret güzel.,5,1,ayakkabı
223,Kalıp geniş tutulmuş.Numaranızın bir küçüğünü almanızı öneririm.Kalite güzel,4,1,ayakkabı
224,ÇOK GÜZEL İYIDİR,5,1,ayakkabı
225,"Kaliteli ürün,tavsiye ederim",5,1,ayakkabı
226,Çok şık ve rahat bir kullanımı var.,5,1,ayakkabı
227,Alırken biraz tereddüt etmiştim ama gayet başarılı.,5,1,ayakkabı
228,Gayet güzel bir ayakkabı kokusuna bayıldım çok güzel kokuyor,5,1,ayakkabı
229,Çok güzel kaliteli bir ürün,5,1,ayakkabı
230,Çok iyi kaliteli hafif beğendim teşekkürler,4,1,ayakkabı
231,Beğenmedim malzemesi çok kalitesizmis,1,0,ayakkabı
232,Geldiği geri gönderdim kutudan çıkardım uçları giymeden açık dikişler berbat en faza 3 gün giyersin sonra çöp,1,0,ayakkabı
233,Hiç girundugungibi değil,1,0,ayakkabı
234,Alt tabani biraz açık geldi bide birinin onu birinden farklı beğenmedim fazla,1,0,ayakkabı
235,Ayakkabının içinde adamın ayağına takılan bir çıkıntı var. O yüzden iade edeceğim.,1,0,ayakkabı
236,Hakiki deri değil ve dikiş hataları var.,1,0,ayakkabı
237,Kaliteli hakiki deri firmaya teşekkūr,5,1,ayakkabı
238,Markası bile belli değil.,3,0,ayakkabı
239,İyi rahat,3,1,ayakkabı
240,Zamaninda ve saglam geldi. Fiyat performans urunu,3,1,ayakkabı
241,Kalıp dar geldi,3,0,ayakkabı
242,Ürün ilk gunlerde iyi idi. Yanlız 1 ay sonra ağzı gözü yamulmaya başladı. Bildiğiniz şekli değişiyor ki ben ayakkibilari hor kullanan biriside değilim. Önceki ayakabim 5sene giymiş birisi olarak pek tavsiye edemiyorum. 1 yıl bitmeden yenisini alacaz gibi. Sağlam oturaklı bir ayakkabı ya 2 katı fiyatını verip 5-6 yıl giymek daha mantıklı.,3,1,ayakkabı
243,Güzel ve rahat saglam bir ürun,5,1,ayakkabı
244,Çok güzel kaliteli fakat numura Küçük geldi iade ettim,5,1,ayakkabı
245,Teşekkürler.,5,1,ayakkabı
246,Çok iyi,5,1,ayakkabı
247,Eşim çok beğendi,5,1,ayakkabı
248,Fiyatına göre çok iyi bir ürün,5,1,ayakkabı
249,Çok güzel,5,1,ayakkabı
250,Süper,5,1,ayakkabı
251,Ekonomik güzel bir ayakkabı tavsiye ederim,4,1,ayakkabı
252,Hızlı kargo ve kaliteli ayakkabılar için teşekkürler :),5,1,ayakkabı
253,Fiyatını hak eden bir ürün. Güzel duruyor ve sağlam görünüyor.,5,1,ayakkabı
254,Tam istediğim gibi hızlı ve resimde ki ürün. Muggo ya teşekkürler,5,1,ayakkabı
255,Çok guzel,5,1,ayakkabı
256,Ürün beklediğim gibi fiyatına göre gayet güzel,5,1,ayakkabı
257,Deri ve Malzeme kalitesi iyi ama işçilik hataları var.,4,0,ayakkabı
258,Çok iyi hemen kullandım hiç sinek kalmadı hepsi öldü ben memnunum,5,1,ayakkabı
259,"Çok güzel, parasını hakediyor",5,1,ayakkabı
260,Hakikaten çok beğendim tamda ayağıma oturdu tavsiye ediyorum,5,1,ayakkabı
261,Beğendim tavsiye ederim ayak numara tam oluyor teşekkürler,5,1,ayakkabı
262,Kaliteli ve kullanışlı beğendim,5,1,ayakkabı
263,Fiyatına göre kaliteli. Memmun kaldım.,5,1,ayakkabı
264,Babama hediye olarak aldım cok begenmiş cok güzel,5,1,ayakkabı
265,Kalıbı büyük 1 numara küçük alınabilir,4,0,ayakkabı
266,Bu model ayakkabılarınız standart ölçüden bir beden daha büyük.,4,0,ayakkabı
267,Fiyatına göre gayet güzel bu fiyata bu kalite bravo,5,1,ayakkabı
268,Ürün geldi fiyatına göre güzel hoşuma gitti,5,1,ayakkabı
269,Güzel ayakkabı beğendim ben,5,1,ayakkabı
270,Tesekkurler,5,1,ayakkabı
271,Çok hızlı bir şekilde elime ulaştı beklediğimden kaliteli,5,1,ayakkabı
272,Çok kaliteli beğendim almalısınız,5,1,ayakkabı
273,Ürün gerçekten hakiki deri fiyat mükemmel teşekkürler,5,1,ayakkabı
274,Kenarları 2giymede açıldı,1,0,ayakkabı
275,Keşke göndermeden önce kontrol etseydiniz ürün hasarlı geldi iade etmek zorunda kaldım,1,0,ayakkabı
276,Ürün taban 42 üstü 43/44 gibi yayıldı gitti iki kullanmada,1,0,ayakkabı
277,Çok kalitesiz,1,0,ayakkabı
278,Çok kalitesiz beğenmedim,1,0,ayakkabı
279,İade yaptık beğenmedik.,1,0,ayakkabı
280,"Ayakkabılar fena değil ama iç kısmında tabanın yarısına kadar iç astarı var ona göre alın,yoksa benim gibi gidip ayrı bir tabanlık alıp o şekilde giyebilirsiniz... Fiyatına göre iyidir...",3,1,ayakkabı
281,Orta..,3,0,ayakkabı
282,Fena değil kalıbı tam kalıp ayağınıza göre alın,3,1,ayakkabı
283,Güzel atakkabı,3,1,ayakkabı
284,Orta,3,0,ayakkabı
285,Selamın aleyküm; Siyah sipariş ettiğim ürün Kahverengi siyah geldi vede üst kısmı çok önde .,1,0,ayakkabı
286,Ürünün iç tabanlık kısmı kalitesiz ve bundan dolayı ayak rahat etmiyor.,3,0,ayakkabı
287,"Resimdeki urun gelmedi,satici ciddi degil, insanlari yanıltmayin..siyah istedik kahve siyah geldi, bence 100 tl daha verin kaliteli alın..",2,0,ayakkabı
